categoria_produto, preço
1-agro_industria_e_comercio,"  155,00 "
2-alimentos,"  58,00 "
3-artes,"  84,00 "
4-artes_e_artesanato,"  99,00 "
5-artigos_de_festas,"  198,00 "
6-artigos_de_natal,"  106,00 "
7-audio,"  82,00 "
8-automotivo,"  101,00 "
9-bebes,"  159,00 "
10-bebidas,"  131,00 "
11-beleza_e_saude,"  86,00 "
12-brinquedos,"  136,00 "
13-cama_mesa_e_banho,"  171,00 "
14-casa_e_conforto,"  108,00 "
15-casa_e_construcao,"  179,00 "
16-cds_e_musicais,"  84,00 "
17-cine_e_foto,"  177,00 "
18-climatizacao,"  52,00 "
19-consoles_e_games,"  168,00 "
20-ferramentas_de_construcao,"  95,00 "
21-ferramentas_de_iluminacao,"  117,00 "
22-ferramentas_de_jardim,"  155,00 "
23-ferramentas_de_seguranca,"  83,00 "
24-dvds,"  88,00 "
25-eletrodomesticos,"  100,00 "
26-eletronicos,"  57,00 "
27-eletroportateis,"  93,00 "
28-esporte_e_lazer,"  187,00 "
29-bolsas_e_acessorios,"  197,00 "
30-calcados,"  173,00 "
31-roupa_esportiva,"  176,00 "
32-roupa_feminina,"  192,00 "
33-roupa_infanto_e_juvenil,"  178,00 "
34-roupa_masculina,"  66,00 "
35-underwear_e_moda_praia,"  69,00 "
36-flores,"  130,00 "
37-fraldas_e_higiene,"  120,00 "
38-industria_comercio_e_negocios,"  162,00 "
39-informatica_acessorios,"  190,00 "
40-instrumentos_musicais,"  105,00 "
41-la_cuisine,"  97,00 "
42-livros_importados,"  59,00 "
43-livros_tecnicos,"  55,00 "
44-malas_e_acessorios,"  186,00 "
45-market_place,"  105,00 "
46-colchao_e_estofado,"  179,00 "
47-moveis_da_cozinha,"  69,00 "
48-moveis_de_decoracao,"  136,00 "
49-moveis_do_escritorio,"  115,00 "
50-moveis_do_quarto,"  54,00 "
51-moveis_da_sala,"  129,00 "
52-moveis_da_area_de_servico,
53-musica,"  88,00 "
54-papelaria,"  121,00 "
55-pcs,"  176,00 "
56-perfumaria,"  63,00 "
57-pet_shop,"  80,00 "
58-portateis_da_casa,"  168,00 "
59-portateis_da_cozinha,"  74,00 "
60-relogios_e_presentes,"  53,00 "
61-seguros_e_servicos,"  126,00 "
62-sinalizacao_e_seguranca,"  137,00 "
63-tablets_impressao_e_imagem,"  174,00 "
64-telefonia,"  163,00 "
65-telefonia_fixa,"  191,00 "
66-utilidades_domesticas,"  161,00 "
