ID Produto,Data atualização,Quantidade
1,1-jan.-2019,432
2,1-jan.-2019,412
3,1-jan.-2019,417
4,1-jan.-2019,438
5,1-jan.-2019,416
6,1-jan.-2019,437
7,1-jan.-2019,428
8,1-jan.-2019,426
9,1-jan.-2019,414
10,1-jan.-2019,436
11,1-jan.-2019,437
12,1-jan.-2019,449
13,1-jan.-2019,430
14,1-jan.-2019,410
15,1-jan.-2019,417
16,1-jan.-2019,415
17,1-jan.-2019,407
18,1-jan.-2019,411
19,1-jan.-2019,406
20,1-jan.-2019,414
21,1-jan.-2019,435
22,1-jan.-2019,414
23,1-jan.-2019,403
24,1-jan.-2019,406
25,1-jan.-2019,400
26,1-jan.-2019,441
27,1-jan.-2019,421
28,1-jan.-2019,441
29,1-jan.-2019,424
30,1-jan.-2019,450
31,1-jan.-2019,422
32,1-jan.-2019,415
33,1-jan.-2019,440
34,1-jan.-2019,416
35,1-jan.-2019,401
36,1-jan.-2019,440
37,1-jan.-2019,444
38,1-jan.-2019,401
39,1-jan.-2019,447
40,1-jan.-2019,405
41,1-jan.-2019,439
42,1-jan.-2019,446
43,1-jan.-2019,437
44,1-jan.-2019,440
45,1-jan.-2019,400
46,1-jan.-2019,433
47,1-jan.-2019,411
48,1-jan.-2019,438
49,1-jan.-2019,402
50,1-jan.-2019,432
51,1-jan.-2019,423
52,1-jan.-2019,401
53,1-jan.-2019,442
54,1-jan.-2019,438
55,1-jan.-2019,407
56,1-jan.-2019,443
57,1-jan.-2019,442
58,1-jan.-2019,422
59,1-jan.-2019,405
60,1-jan.-2019,443
61,1-jan.-2019,412
62,1-jan.-2019,422
63,1-jan.-2019,406
64,1-jan.-2019,432
65,1-jan.-2019,406
66,1-jan.-2019,445
1,1-fev.-2019,402
2,1-fev.-2019,414
3,1-fev.-2019,445
4,1-fev.-2019,435
5,1-fev.-2019,418
6,1-fev.-2019,422
7,1-fev.-2019,418
8,1-fev.-2019,405
9,1-fev.-2019,401
10,1-fev.-2019,449
11,1-fev.-2019,433
12,1-fev.-2019,445
13,1-fev.-2019,421
14,1-fev.-2019,450
15,1-fev.-2019,442
16,1-fev.-2019,433
17,1-fev.-2019,421
18,1-fev.-2019,438
19,1-fev.-2019,432
20,1-fev.-2019,405
21,1-fev.-2019,438
22,1-fev.-2019,440
23,1-fev.-2019,448
24,1-fev.-2019,424
25,1-fev.-2019,439
26,1-fev.-2019,429
27,1-fev.-2019,416
28,1-fev.-2019,418
29,1-fev.-2019,432
30,1-fev.-2019,407
31,1-fev.-2019,410
32,1-fev.-2019,444
33,1-fev.-2019,441
34,1-fev.-2019,427
35,1-fev.-2019,400
36,1-fev.-2019,444
37,1-fev.-2019,400
38,1-fev.-2019,407
39,1-fev.-2019,409
40,1-fev.-2019,450
41,1-fev.-2019,435
42,1-fev.-2019,449
43,1-fev.-2019,429
44,1-fev.-2019,400
45,1-fev.-2019,411
46,1-fev.-2019,433
47,1-fev.-2019,409
48,1-fev.-2019,444
